name,team,position,fpoints_ppr,games,player_url,fpoints_ppr_per_game
Travis Etienne,JAX,RB,137.2,15,/players/E/EtieTr00.htm,9.146666666666667
DeAndre Hopkins,2TM,WR,150.0,16,/players/H/HopkDe00.htm,9.375
Marvin Mims,DEN,WR,132.5,17,/players/M/MimsMa00.htm,7.794117647058823
Rome Odunze,CHI,WR,148.9,17,/players/O/OdunRo00.htm,8.758823529411766
Wan'Dale Robinson,NYG,WR,185.7,17,/players/R/RobiWa01.htm,10.923529411764704
Tank Dell,HOU,WR,143.0,14,/players/D/DellNa00.htm,10.214285714285714
Allen Lazard,NYJ,WR,129.0,12,/players/L/LazaAl00.htm,10.75
Chris Godwin,TAM,WR,140.8,7,/players/G/GodwCh00.htm,20.114285714285717
Romeo Doubs,GNB,WR,135.1,13,/players/D/DoubRo00.htm,10.392307692307693
Jaylen Warren,PIT,RB,131.1,15,/players/W/WarrJa01.htm,8.74
Ameer Abdullah,LVR,RB,132.2,16,/players/A/AbduAm00.htm,8.2625
Justice Hill,BAL,RB,133.1,15,/players/H/HillJu00.htm,8.873333333333333
David Njoku,CLE,TE,151.5,11,/players/N/NjokDa00.htm,13.772727272727273
Emanuel Wilson,GNB,RB,99.0,17,/players/W/WilsEm00.htm,5.823529411764706
Andrei Iosivas,CIN,WR,122.9,17,/players/I/IosiAn00.htm,7.229411764705882
Kyle Pitts,ATL,TE,134.2,17,/players/P/PittKy00.htm,7.894117647058823
Tyjae Spears,TEN,RB,119.6,12,/players/S/SpeaTy00.htm,9.966666666666667
Calvin Austin III,PIT,WR,122.8,17,/players/A/AustCa00.htm,7.223529411764706
Keon Coleman,BUF,WR,114.5,13,/players/C/ColeKe02.htm,8.807692307692308
Demario Douglas,NWE,WR,150.7,17,/players/D/DougDe00.htm,8.86470588235294
Isaiah Likely,BAL,TE,127.7,16,/players/L/LikeIs00.htm,7.98125
Cade Otton,TAM,TE,144.6,14,/players/O/OttoCa00.htm,10.328571428571427
Tre Tucker,LVR,WR,132.3,17,/players/T/TuckTr00.htm,7.782352941176471
Antonio Gibson,NWE,RB,109.4,17,/players/G/GibsAn00.htm,6.435294117647059
Drew Lock,NYG,QB,93.1,8,/players/L/LockDr00.htm,11.6375
Cam Akers,2TM,RB,97.2,17,/players/A/AkerCa00.htm,5.7176470588235295
Kayshon Boutte,NWE,WR,124.9,15,/players/B/BoutKa00.htm,8.326666666666666
Amari Cooper,2TM,WR,125.7,14,/players/C/CoopAm00.htm,8.97857142857143
Isaac Guerendo,SFO,RB,101.2,16,/players/G/GuerIs00.htm,6.325
Hunter Henry,NWE,TE,148.4,16,/players/H/HenrHu00.htm,9.275
Taysom Hill,NOR,TE,110.3,8,/players/H/HillTa00.htm,13.7875
Ray-Ray McCloud,ATL,WR,145.5,17,/players/M/McClRa00.htm,8.558823529411764
Michael Wilson,ARI,WR,128.5,16,/players/W/WilsMi02.htm,8.03125
Mike Gesicki,CIN,TE,145.5,17,/players/G/GesiMi00.htm,8.558823529411764
Deshaun Watson,CLE,QB,88.7,7,/players/W/WatsDe00.htm,12.671428571428573
Xavier Legette,CAR,WR,128.1,16,/players/L/LegeXa00.htm,8.00625
Devin Singletary,NYG,RB,104.6,15,/players/S/SingDe00.htm,6.973333333333333
Christian Watson,GNB,WR,109.3,15,/players/W/WatsCh00.htm,7.286666666666666
Stefon Diggs,HOU,WR,124.9,8,/players/D/DiggSt00.htm,15.6125
Jalen Nailor,MIN,WR,107.0,17,/players/N/NailJa00.htm,6.294117647058823
Ty Johnson,BUF,RB,97.7,17,/players/J/JohnTy02.htm,5.747058823529412
Noah Gray,KAN,TE,116.3,17,/players/G/GrayNo00.htm,6.841176470588235
Juwan Johnson,NOR,TE,125.8,17,/players/J/JohnJu02.htm,7.3999999999999995
Cole Kmet,CHI,TE,123.4,17,/players/K/KmetCo00.htm,7.258823529411765
Jaleel McLaughlin,DEN,RB,101.2,16,/players/M/McLaJa00.htm,6.325
KaVontae Turpin,DAL,WR,108.2,17,/players/T/TurpKa00.htm,6.364705882352942
Tyler Lockett,SEA,WR,124.0,17,/players/L/LockTy00.htm,7.294117647058823
Dontayvion Wicks,GNB,WR,113.5,17,/players/W/WickDo00.htm,6.676470588235294
Tyler Conklin,NYJ,TE,124.9,16,/players/C/ConkTy00.htm,7.80625
